term,count
anyone,112
denilson,86
mark,82
2023,68
2022,65
trump,63
2024,53
watching,48
still,46
2025,44
like,41
men,40
love,39
funny,38
2021,35
back,34
angel,34
comedy,33
mark angel,32
one,32
shu,28
smelling,28
anyone 2022,26
said,25
oh,24
anyone 2023,23
nigga,22
lol,21
guys,20
miss,19
